年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
2006/4,123.0,13.6,17.5,10.1,22.4,6.3
2006/5,99.0,19.0,22.7,15.7,29.4,9.2
2006/6,138.5,22.5,25.4,20.1,31.5,15.5
2006/7,165.0,25.6,28.6,23.3,36.1,20.3
2006/8,126.0,27.5,31.1,24.8,35.4,20.2
2006/9,175.5,23.5,27.1,20.7,34.8,16.6
2006/10,318.0,19.5,22.9,16.7,27.0,12.1
2006/11,135.0,14.4,17.9,11.0,24.9,5.8
2006/12,200.5,9.5,12.5,6.7,20.3,3.7
2007/1,42.0,7.6,10.9,4.6,15.0,2.0
2007/2,57.0,8.6,12.8,5.0,17.3,0.2
2007/3,77.0,10.8,15.0,6.8,24.1,2.6
2007/4,134.0,13.7,17.9,9.9,25.8,4.0
2007/5,115.5,19.8,24.0,16.0,29.0,13.0
2007/6,80.0,23.2,27.1,20.0,31.5,15.7
2007/7,253.0,24.4,27.4,21.8,32.7,18.2
2007/8,9.5,29.0,33.0,25.9,37.5,23.1
2007/9,319.5,25.2,28.5,22.4,32.9,15.7
2007/10,135.5,19.0,22.2,16.1,26.5,12.8
2007/11,37.0,13.3,16.6,10.2,21.2,4.6
2007/12,72.0,9.0,12.6,5.6,15.8,2.7
2008/1,17.5,5.9,9.4,2.7,13.9,0.8
2008/2,57.0,5.5,9.6,1.9,17.0,-0.1
2008/3,119.5,10.7,14.9,7.2,20.4,2.8
2008/4,240.0,14.7,18.4,11.4,25.8,6.5
2008/5,255.0,18.5,22.0,15.4,29.0,9.2
2008/6,225.5,21.3,24.6,18.4,29.1,13.4
2008/7,48.0,27.0,30.9,24.2,34.5,18.6
2008/8,387.5,26.8,30.7,24.1,35.3,19.6
2008/9,158.5,24.4,27.7,21.7,32.3,15.4
2008/10,204.5,19.4,22.6,16.4,25.2,11.5
2008/11,74.0,13.1,16.4,10.0,22.3,5.5
2008/12,70.5,9.8,13.7,6.0,19.9,1.8
2009/1,142.0,6.8,10.2,3.5,15.3,0.0
2009/2,46.5,7.8,11.5,4.4,23.9,1.4
2009/3,98.5,10.0,13.7,6.3,23.2,1.1
2009/4,162.5,15.7,20.2,11.9,26.1,5.4
2009/5,242.0,20.1,23.6,16.9,29.3,12.6
2009/6,226.0,22.5,25.8,19.8,31.9,15.5
2009/7,78.5,26.3,29.3,23.5,34.2,20.2
2009/8,242.0,26.6,30.1,23.8,33.2,17.6
2009/9,53.0,23.0,26.5,20.2,31.5,17.7
2009/10,276.5,19.0,22.3,16.0,27.1,12.7
2009/11,151.5,13.5,17.0,10.1,25.9,5.5
2009/12,82.5,9.0,12.4,6.2,17.4,1.1
2010/1,9.0,7.0,11.0,3.0,18.0,-0.3
2010/2,115.0,6.5,9.9,3.0,21.0,-0.4
2010/3,143.5,9.1,13.2,5.1,21.6,0.9
2010/4,214.0,12.4,16.6,8.6,25.5,1.4
2010/5,114.0,19.0,23.0,15.4,30.9,11.4
2010/6,108.0,23.6,27.5,20.5,31.8,13.4
2010/7,70.0,28.0,31.6,25.0,36.3,19.9
2010/8,27.0,29.6,33.5,27.0,37.2,23.6
2010/9,428.0,25.1,29.0,22.3,35.9,13.9
2010/10,211.0,18.9,21.8,16.5,28.3,9.3
2010/11,94.5,13.5,17.2,10.0,22.4,7.0
2010/12,145.5,9.9,13.7,6.2,23.7,2.1
2011/1,3.5,5.1,9.1,1.5,12.2,-1.1
2011/2,151.0,7.0,11.2,3.2,20.8,-0.8
2011/3,74.0,8.1,12.3,4.0,20.2,1.0
2011/4,96.0,14.5,18.9,10.3,24.8,4.3
2011/5,213.5,18.5,22.2,15.0,29.6,12.2
2011/6,116.5,22.8,26.0,19.9,35.1,12.1
2011/7,54.5,27.3,30.9,24.5,34.8,18.0
2011/8,244.0,27.5,31.2,24.6,36.1,19.3
2011/9,235.0,25.1,28.8,22.0,32.5,15.9
2011/10,119.5,19.5,23.0,16.5,29.7,11.2
2011/11,112.5,14.9,18.3,11.7,22.7,7.2
2011/12,59.5,7.5,11.1,4.2,18.9,1.5
2012/1,50.0,4.8,8.3,1.8,11.1,-1.0
2012/2,94.0,5.4,9.1,2.2,15.4,-1.0
2012/3,144.5,8.8,12.5,5.3,19.4,2.0
2012/4,118.5,14.5,18.5,11.0,26.0,5.1
2012/5,231.0,19.6,23.6,16.1,27.2,11.9
2012/6,185.0,21.4,24.8,18.6,30.2,15.2
2012/7,130.0,26.4,30.1,23.5,35.4,17.4
2012/8,25.0,29.1,33.1,26.3,35.7,22.9
2012/9,214.5,26.2,29.8,23.3,33.8,18.0
2012/10,154.5,19.4,23.0,16.2,31.0,11.8
2012/11,154.0,12.7,16.3,9.6,21.5,4.4
2012/12,69.0,7.3,11.2,3.8,18.4,0.1
2013/1,70.0,5.5,9.6,1.8,14.4,-1.4
2013/2,30.0,6.2,10.3,2.7,20.9,-0.5
2013/3,44.5,12.1,16.4,7.9,25.3,3.2
2013/4,283.0,15.2,19.2,10.8,23.4,5.3
2013/5,56.0,19.8,24.1,16.0,28.5,10.5
2013/6,159.0,22.9,26.5,20.0,30.2,14.7
2013/7,115.5,27.3,31.4,24.2,35.4,21.0
2013/8,99.0,29.2,33.2,26.0,38.3,20.3
2013/9,231.5,25.2,28.8,21.8,35.7,15.7
2013/10,440.0,19.8,23.0,17.0,31.3,12.0
2013/11,26.0,13.5,17.4,9.8,21.5,5.9
2013/12,59.5,8.3,12.1,4.9,17.6,0.5
2014/1,24.5,6.3,10.6,2.5,15.9,-0.2
2014/2,157.5,5.9,9.8,2.8,18.6,-0.9
2014/3,113.5,10.4,14.5,6.7,22.3,1.3
2014/4,155.0,15.0,19.6,11.0,23.9,6.3
2014/5,135.5,20.3,24.7,16.7,31.6,11.2
2014/6,311.0,23.4,26.9,20.7,33.1,17.7
2014/7,105.5,26.8,30.5,23.9,35.6,20.1
2014/8,105.0,27.7,31.2,24.8,36.1,19.6
2014/9,155.5,23.2,26.9,20.1,31.6,16.4
2014/10,384.5,19.1,23.0,16.0,29.8,11.9
2014/11,98.5,14.2,17.4,11.3,22.4,6.9
2014/12,62.0,6.7,11.0,2.8,16.2,-1.3
2015/1,92.5,5.8,10.4,1.8,16.4,-2.2
2015/2,62.0,5.7,10.4,1.9,19.2,-2.4
2015/3,94.0,10.3,15.5,5.8,23.6,-0.4
2015/4,129.0,14.5,19.3,10.1,27.2,2.4
2015/5,88.0,21.1,26.4,16.6,32.2,11.6
2015/6,195.5,22.1,26.4,18.6,31.4,13.4
2015/7,234.5,26.2,30.1,23.2,35.8,17.6
2015/8,103.5,26.7,30.5,23.9,37.7,17.9
2015/9,503.5,22.6,26.4,19.8,31.5,16.1
2015/10,57.0,18.4,22.7,14.8,28.1,10.3
2015/11,139.5,13.9,17.8,10.7,23.7,3.9
2015/12,82.5,9.3,13.4,5.8,24.1,1.9
2016/1,85.0,6.1,10.6,1.8,16.2,-2.6
2016/2,57.0,7.2,12.2,3.1,23.0,0.1
2016/3,103.0,10.1,14.9,6.1,21.4,1.1
2016/4,120.0,15.4,20.3,11.3,26.8,5.1
2016/5,137.5,20.2,25.2,15.7,30.9,11.9
2016/6,174.5,22.4,26.3,19.1,33.0,14.2
2016/7,81.5,25.4,29.7,22.1,36.7,19.0
2016/8,414.0,27.1,31.6,23.9,37.7,21.3
2016/9,287.0,24.4,27.7,21.9,33.0,17.6
2016/10,96.5,18.7,22.6,15.3,32.0,9.6
2016/11,139.0,11.4,15.5,8.1,20.8,0.3
2016/12,84.0,8.9,13.8,4.5,20.2,0.0
2017/1,26.0,5.8,10.8,1.7,19.5,-2.3
2017/2,15.5,6.9,12.1,2.6,20.6,-1.6
2017/3,85.5,8.5,13.4,4.2,18.7,0.0
2017/4,122.0,14.7,19.9,10.2,26.1,4.5
2017/5,49.0,20.0,25.1,16.0,30.9,11.3
2017/6,106.5,22.0,26.4,18.5,30.6,14.8
2017/7,81.0,27.3,31.8,24.0,35.0,20.9
2017/8,141.5,26.4,30.4,23.4,37.1,20.0
2017/9,209.5,22.8,26.8,19.5,33.3,16.0
2017/10,531.5,16.8,20.1,14.2,29.0,9.1
2017/11,47.0,11.9,16.6,7.9,21.9,3.2
2017/12,15.0,6.6,11.1,2.7,16.0,-0.2
2018/1,48.5,4.7,9.4,0.6,16.0,-4.0
2018/2,20.0,5.4,10.1,1.3,15.1,-1.8
2018/3,220.0,11.5,16.9,6.5,24.2,1.7
2018/4,109.0,17.0,22.1,12.4,28.3,5.5
2018/5,165.5,19.8,24.6,15.4,29.0,9.0
2018/6,155.5,22.4,26.6,19.1,32.9,14.2
2018/7,107.0,28.3,32.7,25.0,39.0,19.1
2018/8,86.5,28.1,32.5,24.6,37.3,18.3
2018/9,365.0,22.9,26.6,19.9,33.0,14.1
2018/10,61.5,19.1,23.0,15.8,32.3,11.6
2018/11,63.0,14.0,17.7,10.6,22.8,5.8
2018/12,44.0,8.3,12.1,4.7,23.4,-0.7
2019/1,16.0,5.6,10.3,1.4,14.0,-1.2
2019/2,42.0,7.2,11.6,3.3,19.5,-1.2
