年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
2007/9,54.0,24.7,28.8,21.6,34.7,15.9
2007/10,136.0,16.7,20.7,12.9,25.3,8.8
2007/11,149.5,10.2,14.2,6.7,21.0,0.8
2007/12,311.0,6.3,9.1,3.5,12.9,0.2
2008/1,116.0,3.0,5.9,0.6,11.7,-2.3
2008/2,119.5,2.1,5.3,-0.6,11.3,-3.2
2008/3,52.5,7.5,11.6,4.1,18.2,0.1
2008/4,57.0,12.6,17.1,8.7,25.7,4.6
2008/5,74.0,17.0,21.5,13.3,29.2,6.6
2008/6,54.0,20.3,24.1,17.4,29.3,12.4
2008/7,101.5,25.4,28.9,22.8,33.4,16.0
2008/8,201.0,25.8,29.3,22.7,34.8,18.9
2008/9,93.5,22.7,26.3,19.6,33.5,12.8
2008/10,217.0,17.4,21.3,13.9,26.8,7.0
2008/11,280.0,10.3,14.1,6.7,21.8,0.5
2008/12,164.0,6.8,10.5,3.3,17.6,-1.9
2009/1,216.5,3.7,6.9,0.7,12.2,-4.1
2009/2,124.5,4.2,7.7,1.2,15.5,-1.8
2009/3,140.0,6.3,10.5,2.6,22.6,-0.1
2009/4,78.0,11.8,16.1,7.9,25.4,4.4
2009/5,50.5,17.6,22.0,14.0,28.3,8.5
2009/6,68.0,21.4,25.5,18.0,32.7,13.2
2009/7,255.0,23.7,27.3,21.3,36.3,18.0
2009/8,142.0,24.9,28.2,22.3,32.1,17.9
2009/9,66.0,21.6,25.2,18.5,30.2,14.7
2009/10,172.5,16.7,20.8,13.2,24.5,8.4
2009/11,169.0,11.5,15.3,7.9,23.7,1.9
2009/12,310.5,5.7,8.5,3.2,14.5,-0.7
2010/1,184.0,3.4,6.2,0.8,12.1,-1.7
2010/2,204.0,2.9,5.8,0.3,19.9,-3.7
2010/3,150.5,5.6,9.4,2.2,22.8,-1.4
2010/4,110.5,9.7,14.0,6.1,21.3,0.9
2010/5,136.5,15.7,19.8,12.2,28.9,7.8
2010/6,148.5,21.6,25.2,18.5,30.0,13.0
2010/7,109.5,26.3,30.1,23.4,34.2,20.1
2010/8,54.5,29.0,33.0,25.9,35.1,23.3
2010/9,334.5,23.7,27.4,20.7,35.0,14.1
2010/10,134.0,17.6,21.3,14.4,26.8,6.5
2010/11,196.0,10.8,14.6,7.4,20.1,3.3
2010/12,309.5,6.7,10.1,3.5,18.1,0.0
2011/1,168.0,1.3,3.8,-0.7,8.2,-2.8
2011/2,100.0,3.7,7.4,0.2,18.3,-2.2
2011/3,103.0,4.2,8.3,0.8,17.1,-2.4
2011/4,118.5,10.2,14.7,5.8,21.5,1.0
2011/5,96.5,16.3,20.9,12.5,27.6,7.7
2011/6,191.0,21.2,25.0,18.3,29.9,13.6
2011/7,332.0,26.5,30.6,23.4,37.3,19.7
2011/8,51.0,27.0,30.7,24.2,34.8,20.1
2011/9,250.0,23.7,27.7,20.1,36.4,13.7
2011/10,117.0,16.7,20.8,12.9,26.7,8.5
2011/11,137.0,11.8,15.6,8.4,23.3,2.6
2011/12,194.0,4.4,7.1,1.9,16.1,-1.4
2012/1,112.0,1.6,4.0,-0.6,8.0,-3.1
2012/2,179.0,1.0,3.4,-1.2,8.9,-4.2
2012/3,182.0,5.3,8.9,2.0,18.9,-2.3
2012/4,94.0,11.2,15.9,7.2,28.2,0.6
2012/5,130.0,16.3,20.3,13.1,28.5,8.1
2012/6,37.5,20.6,24.6,17.6,29.4,13.7
2012/7,163.5,25.4,29.0,22.4,34.9,18.6
2012/8,28.0,27.9,31.9,24.4,35.6,20.3
2012/9,224.0,25.2,29.4,21.7,36.2,17.0
2012/10,193.0,17.3,21.3,13.6,26.1,8.9
2012/11,283.5,9.9,13.3,7.1,19.2,2.5
2012/12,183.5,3.9,7.0,1.2,14.0,-2.8
